idx,code,year,date,result,startup,ip,run,er,bf,ab,hit,second,third,homerun,bb,ibb,hbp,k,pit,whip,avg,obp,ops,era,avli,re24,wpa,gsc,decision,itv
000103,68948,2018,04-05,L 1:4,1,8.0,1,1,31,30,10,2,0,0,0,0,0,4,113,1.0,0.257,0.33,0.73,1.71,1.59,3.44,0.301,62,-,6
000104,68948,2018,04-11,L 4:12,1,5.0,5,3,27,24,10,3,0,1,3,0,0,2,117,1.31,0.296,0.48,1.15,2.42,1.53,-2.23,-0.367,30,L,6
000105,68948,2018,04-17,W 3:2,1,6.0,2,2,28,25,7,1,0,0,3,1,0,3,96,1.38,0.293,0.36,0.68,2.53,1.42,1.33,0.072,50,-,6
000106,68948,2018,04-22,L 4:5,1,6.1,3,2,27,24,7,0,0,1,3,0,0,2,100,1.41,0.293,0.37,0.79,2.58,1.26,0.31,-0.079,48,-,5
000107,68948,2018,04-28,W 5:1,1,6.2,1,1,27,26,7,0,0,0,0,0,1,4,107,1.36,0.289,0.3,0.57,2.4,1.02,2.77,0.364,60,W,6
000108,68948,2018,05-18,W 6:1,1,5.0,0,0,20,19,3,0,0,0,1,0,0,4,79,1.3,0.276,0.2,0.36,2.16,0.82,2.78,0.191,64,W,7+
000109,68948,2018,05-24,L 0:4,1,6.0,4,4,25,23,6,1,0,0,2,0,0,5,87,1.3,0.274,0.32,0.62,2.57,0.81,-0.67,-0.189,47,L,6
000110,68948,2018,05-30,L 4:10,1,3.0,8,3,19,18,8,2,0,0,1,0,0,2,63,1.39,0.288,0.47,1.03,2.9,0.84,-6.34,-0.548,22,L,6
000111,68948,2018,06-05,L 6:12,1,5.0,7,7,22,19,6,0,0,2,3,1,0,2,78,1.42,0.29,0.41,1.04,3.66,0.72,-4.23,-0.275,26,L,6
000112,68948,2018,06-10,L 3:6,1,7.0,2,2,25,23,4,1,0,1,1,0,0,5,106,1.35,0.28,0.21,0.56,3.55,0.56,1.89,0.038,65,-,5
000113,68948,2018,06-16,W 5:1,1,7.0,1,1,26,23,3,1,0,0,2,0,0,7,111,1.29,0.268,0.2,0.37,3.35,1.19,2.89,0.325,72,W,6
000114,68948,2018,06-23,L 1:8,1,6.1,6,6,29,25,8,0,0,1,4,0,0,3,117,1.34,0.272,0.41,0.85,3.74,1.0,-1.36,-0.157,32,L,7
000115,68948,2018,06-29,L 3:7,1,5.0,5,4,26,23,9,2,1,0,1,0,1,3,91,1.38,0.28,0.42,0.99,3.93,0.96,-2.23,-0.298,33,L,6
000116,68948,2018,07-11,W 5:1,1,6.0,0,0,22,19,2,1,0,0,3,0,0,5,97,1.34,0.271,0.23,0.38,3.68,1.12,3.33,0.355,70,W,7+
000117,68948,2018,07-19,L 0:3,1,5.2,3,3,24,22,7,2,0,1,2,0,0,7,112,1.36,0.274,0.38,0.92,3.74,0.87,0.21,-0.058,48,L,7+
000118,68948,2018,07-25,W 9:6,1,3.2,5,5,23,19,8,1,0,2,4,0,0,6,105,1.42,0.281,0.52,1.31,4.04,0.77,-3.25,-0.193,27,-,6
000119,68948,2018,09-06,L 3:6,1,5.0,4,2,24,24,9,0,0,0,0,0,0,3,67,1.44,0.286,0.38,0.75,4.02,1.13,-1.23,-0.186,40,L,7+
000120,68948,2018,09-12,W 5:4,1,7.0,1,1,27,26,6,0,0,0,1,0,0,4,105,1.41,0.283,0.26,0.49,3.86,1.02,2.89,0.305,64,-,6
000121,68948,2018,09-18,W 10:3,1,6.0,3,3,26,24,10,2,0,0,1,0,0,2,78,1.43,0.29,0.44,0.94,3.89,0.84,0.33,0.093,41,W,6
000122,68948,2018,09-23,W 4:3,1,6.0,2,1,30,29,11,2,0,0,0,0,0,6,102,1.45,0.295,0.38,0.83,3.78,1.23,1.33,0.053,50,-,5
000123,68948,2018,09-29,L 5:6,1,6.0,5,2,25,25,6,0,0,3,0,0,0,8,107,1.43,0.292,0.24,0.84,3.74,1.09,-1.67,-0.188,54,-,6
000124,68948,2018,10-07,L 2:8,1,4.0,7,6,20,18,8,2,0,2,1,0,0,4,99,1.46,0.297,0.45,1.34,4.02,0.62,-3.8,-0.306,23,L,7+
000125,68948,2018,10-12,L 2:13,1,3.0,5,5,15,13,5,1,0,2,2,0,0,4,52,1.48,0.299,0.47,1.39,4.26,1.0,-2.73,-0.294,31,L,5
000126,68135,2018,03-24,L 2:4,1,6.0,2,2,25,21,5,1,0,0,3,0,0,7,103,1.33,0.238,0.32,0.61,3.0,1.06,1.33,0.052,58,L,7+
000127,68135,2018,03-30,L 3:4,1,6.0,3,3,27,25,8,4,0,0,2,0,0,9,106,1.5,0.283,0.37,0.85,3.75,0.93,0.33,-0.07,51,L,6
000128,68135,2018,04-06,W 14:6,1,6.0,3,3,23,22,7,0,0,1,0,0,0,8,100,1.39,0.294,0.3,0.76,4.0,0.37,0.33,0.045,54,W,7
000129,68135,2018,04-12,W 5:4,1,7.0,0,0,25,23,3,0,0,0,0,0,1,9,100,1.12,0.253,0.17,0.3,2.88,1.34,3.89,0.463,80,-,6
000130,68135,2018,04-18,L 3:4,1,6.0,3,3,27,23,6,1,0,0,2,0,1,3,99,1.16,0.254,0.35,0.65,3.19,1.11,0.33,-0.013,49,-,6
000131,68135,2018,04-29,L 7:8,1,5.0,2,2,24,24,10,1,0,0,0,0,0,7,90,1.28,0.283,0.42,0.88,3.25,0.88,0.78,0.138,46,-,7+
000132,68135,2018,05-05,L 0:3,1,6.0,3,3,26,25,9,1,0,1,1,0,0,4,115,1.33,0.294,0.38,0.9,3.43,0.69,0.33,-0.08,45,L,6
000133,68135,2018,05-11,W 14:9,1,5.0,6,5,27,27,12,0,0,1,0,0,0,5,88,1.45,0.316,0.44,1.0,4.02,1.13,-3.23,-0.4,26,-,6
000134,68135,2018,05-17,W 8:5,1,8.0,2,2,29,26,3,0,0,1,3,0,0,8,106,1.35,0.292,0.21,0.44,3.76,1.53,2.44,0.318,73,W,6
000135,68135,2018,05-23,W 12:2,1,6.0,2,2,23,21,4,0,1,0,2,0,0,3,86,1.31,0.283,0.26,0.55,3.69,0.49,1.33,-0.049,57,W,6
000136,68135,2018,05-29,W 5:3,1,6.0,3,3,25,24,7,0,1,0,0,0,0,5,97,1.3,0.284,0.29,0.67,3.76,0.8,0.33,-0.049,51,-,6
000137,68135,2018,06-03,W 8:0,1,9.0,0,0,31,30,3,0,0,0,1,0,0,10,101,1.2,0.265,0.13,0.23,3.32,0.76,5.0,0.386,90,W SHO,5
000138,68135,2018,06-09,W 6:0,1,7.0,0,0,25,23,4,1,0,0,2,0,0,3,93,1.17,0.258,0.24,0.46,3.04,1.3,3.89,0.443,70,W,6
000139,68135,2018,06-15,W 4:3,1,8.0,1,1,29,29,6,1,0,0,0,0,0,6,110,1.13,0.254,0.21,0.45,2.87,1.29,3.44,0.411,72,-,6
000140,68135,2018,06-21,L 6:9,1,7.0,4,4,29,28,10,2,0,1,0,0,0,5,99,1.15,0.261,0.34,0.88,3.03,1.26,-0.12,0.046,46,-,6
000141,68135,2018,06-27,W 7:2,1,5.2,2,2,24,21,5,2,0,0,1,0,2,11,116,1.15,0.26,0.33,0.67,3.04,0.9,0.99,0.246,61,W,6
000142,68135,2018,07-03,L 6:13,1,6.0,3,3,25,25,7,1,0,1,0,0,0,3,103,1.15,0.261,0.28,0.72,3.12,0.98,0.33,0.001,49,-,6
